Battletags,Level,Rating,K/D,KDA,Win Pct,Kills/Game,Elim/Game,Damage/Game,Healing/Game,Elim/Min,Healing/Min,Damage/Min,Solo Kills,Obj kills,Final Blows,Damage Done,Elims,Environment Kills,MultiKills,Deaths
Munkmutta-2248,991,"4,468",2.87,6.03,57.0%,22.32,22.32,"8,051.77","6,363.91",1.77,8.42,639.16,433,"1,858","2,120","1,892,167","5,246",25,56,"1,831"
BarbieQ9130-2297,907,"4,498",3.67,4.71,55.2%,28.30,28.30,"9,528.49","1,285.07",2.22,1.68,745.96,133,626,856,"638,409","1,896",5,20,516
Epzz-2588,"1,472","4,497",2.50,6.79,54.6%,20.25,20.25,"6,631.59","8,582.92",1.61,11.35,526.25,189,"1,734","1,588","1,591,582","4,861",18,50,"1,947"
TIZI-31888,651,"4,497",3.16,3.99,55.2%,22.78,22.78,"8,988.00",867.60,1.84,1.17,725.07,45,513,611,"602,196","1,526",14,34,483
Alex2704-2987,"1,996","4,495",4.30,6.45,57.1%,27.18,27.18,"9,972.24","1,953.43",2.26,2.70,828.02,156,"1,682","1,668","1,675,336","4,567",13,95,"1,061"
HALPERN-11214,206,"4,495",7.21,8.51,59.5%,30.38,30.38,"9,695.05",268.02,2.54,0.37,812.11,122,"1,080","1,332","1,076,151","3,372",8,83,468
Ali-12740,668,"4,495",2.10,6.06,55.2%,19.04,19.04,"5,619.45","8,926.85",1.51,11.77,444.40,133,"1,490",963,"966,545","3,275",12,23,"1,558"
ShRedLock-11258,"1,228","4,493",3.60,5.04,55.2%,25.00,25.00,"8,628.01","1,730.15",2.05,2.36,706.71,175,"1,961","1,974","1,734,231","5,024",35,96,"1,396"
Jofi-21627,797,"4,492",2.84,6.86,50.0%,19.64,19.64,"4,966.44","7,989.51",1.60,10.84,404.16,44,551,313,"357,584","1,414",57,6,498
nomy-1279,"1,020","4,492",3.45,4.13,61.3%,24.91,24.91,"9,013.25",597.08,2.08,0.83,751.34,64,653,766,"675,994","1,868",21,31,541
Chubz-2614,"1,542","4,490",3.24,3.66,54.6%,26.74,26.74,"9,474.61",219.31,2.11,0.29,748.51,108,"1,215","1,256","1,146,428","3,236",27,69,999
