"Battletags","Level","K/D","KDA","Win Pct","Kills/Game","Elim/Game","Damage/Game","Healing/Game","Elim/Min","Healing/Min","Damage/Min","Solo Kills","Obj kills","Final Blows","Damage Done","Elims","Environment Kills","MultiKills","Deaths","Games","GameTimeMin","Rating"
"Patamari-1760",746,1.32,4.1,53.3,9.79,9.79,2596.37,7791.75,0.85,11.23,224.46,18,586,326,272619,1028,2,9,778,105.000057772968,1214.55493183641,2006
"Meow-1390",229,2.58,2.97,42.7,22.26,22.26,7555.87,723.58,1.84,1,625.25,303,805,1247,831146,2449,5,22,948,110.00003970423,1329.3018792483,3040
"OVER-31949",21,1.53,1.81,43.1,15.57,15.57,6084.93,716.75,1.56,1.19,608.49,77,416,483,438115,1121,5,11,731,72.0000065736171,720.003615507239,1681
"lizzychu-11577",701,2.21,3.32,52.5,17.98,17.98,6524.85,2960.62,1.65,4.53,598.91,28,364,264,260994,719,6,8,325,40,435.781670033895,2144
"Boz-1441",280,2.52,3.57,37.5,21.5,21.5,0,5447.38,2.15,9.08,0,43,553,329,0,1032,2,6,409,NA,NA,2036
"MrDrTopHat-1564",193,2.05,3.01,54.6,16.24,16.24,5076.09,2596.52,1.49,3.97,465.31,29,254,196,167511,536,3,3,261,33.0000059100607,359.998710537061,2158
"Sweeper-11504",71,2.58,2.89,57.4,24.72,24.72,7790.76,677.14,2.2,1.01,694.52,903,2034,3136,1791874,5685,7,76,2204,229.999897314254,2580.01785405748,4062
"TonyChao-2340",344,2.43,8.05,59.5,16.57,16.57,5023.29,8700.64,1.45,12.69,439.54,36,307,265,210978,696,20,4,286,41.9999641669105,479.997269873049,3753
"pesky-11833",1037,1.97,3.36,49.4,17.42,17.42,4432.21,5686.01,1.48,8.06,376.98,107,2221,975,1032704,4058,47,60,2057,232.999790172397,2739.41323147117,2732
"Faijin-1352",269,2.21,2.5,50.8,18.61,18.61,7820.43,806.99,1.58,1.14,662.36,838,3530,3336,3034325,7221,120,61,3269,387.99976471882,4581.08128510176,2129
"Stock-21379",311,2.74,4.12,57.9,20.95,20.95,8154.32,3307.32,1.91,5.02,742.54,41,167,183,154932,398,3,5,145,18.9999901892494,208.651385783931,2769
"Pyro-22686",628,2.32,3.14,49.1,23.17,23.17,7893.84,1861.59,1.9,2.55,648,269,772,1238,836747,2456,18,31,1057,105.999994932758,1291.2762345679,4210
"random-1269",541,2.79,3.99,50,22.31,22.31,7333.31,1859.22,1.82,2.52,597.19,34,311,311,263999,803,2,12,288,35.9999781817488,442.068688357139,3726
"NitroxydeX-2792",641,2.39,5.33,47.8,17.88,17.88,4969.4,6458.35,1.48,8.88,410.16,113,2500,1124,1331799,4793,48,55,2005,267.999959753693,3247.02311293154,2495
"Camryan-1243",413,5.19,6.58,61.9,28.57,28.57,9711.24,3491.05,2.39,4.88,813.85,52,447,481,407872,1200,9,10,231,41.9999917621231,501.163605086932,3530
"ReCo1l-2730",254,2.88,5.46,41.2,20.82,20.82,5803.88,9516,1.7,12.92,472.84,13,155,95,98666,354,5,4,123,17.0000068919413,208.666779460283,2185
